comp(1),comp_corrected(1),raman_shift(1),vidro(5-5),comp(2),comp_corrected(2),raman_shift(2),vidro(5-5),comp(3),comp_corrected(1),raman_shift(3),vidro(10-10),comp(4),comp_corrected(1),raman_shift(4),vidro(10-10)
296.5,307.5,-3948.896632,1.5065,346.5,357.5,-2972.027972,1.5389,396.5,407.5,-2317.655078,3.929,446.5,457.5,-4539.877301,956.0484
297,308,-3896.103896,1.5439,347,358,-2932.960894,1.5591,397,408,-2287.581699,3.9422,447,458,-4509.803922,914.9107
297.5,308.5,-3843.482288,1.5739,347.5,358.5,-2894.002789,1.5806,397.5,408.5,-2257.581939,3.9541,447.5,458.5,-4479.804162,865.2318
298,309,-3791.030975,1.6114,348,359,-2855.153203,1.5918,398,409,-2227.655528,3.9681,448,459,-4449.877751,807.8244
298.5,309.5,-3738.749135,1.5494,348.5,359.5,-2816.411683,1.6057,398.5,409.5,-2197.802198,3.981,448.5,459.5,-4420.02442,743.547
299,310,-3686.635945,1.5238,349,360,-2777.777778,1.5997,399,410,-2168.02168,3.9974,449,460,-4390.243902,673.7421
299.5,310.5,-3634.690591,1.5284,349.5,360.5,-2739.25104,1.6131,399.5,410.5,-2138.31371,4.0188,449.5,460.5,-4360.535932,600.0844
300,311,-3582.912265,1.5844,350,361,-2700.831025,1.6313,400,411,-2108.678021,4.0408,450,461,-4330.900243,524.4144
300.5,311.5,-3531.300161,1.5889,350.5,361.5,-2662.517289,1.6591,400.5,411.5,-2079.114351,4.0648,450.5,461.5,-4301.336574,448.913
301,312,-3479.85348,1.5894,351,362,-2624.309392,1.692,401,412,-2049.622438,4.0913,451,462,-4271.84466,376.0796
301.5,312.5,-3428.571429,1.5408,351.5,362.5,-2586.206897,1.7205,401.5,412.5,-2020.20202,4.1181,451.5,462.5,-4242.424242,308.5263
302,313,-3377.453218,1.5703,352,363,-2548.209366,1.7311,402,413,-1990.852838,4.1476,452,463,-4213.075061,249.0356
302.5,313.5,-3326.498063,1.6272,352.5,363.5,-2510.316369,1.7302,402.5,413.5,-1961.574634,4.1793,452.5,463.5,-4183.796856,200.4446
303,314,-3275.705187,1.6625,353,364,-2472.527473,1.7293,403,414,-1932.36715,4.2137,453,464,-4154.589372,163.503
303.5,314.5,-3225.073813,1.5953,353.5,364.5,-2434.84225,1.7088,403.5,414.5,-1903.23013,4.2473,453.5,464.5,-4125.452352,132.1835
304,315,-3174.603175,1.5631,354,365,-2397.260274,1.6927,404,415,-1874.16332,4.2813,454,465,-4096.385542,105.5276
304.5,315.5,-3124.292506,1.5724,354.5,365.5,-2359.781122,1.6861,404.5,415.5,-1845.166466,4.3214,454.5,465.5,-4067.388688,83.1362
305,316,-3074.141049,1.6358,355,366,-2322.404372,1.6727,405,416,-1816.239316,4.3588,455,466,-4038.461538,63.6114
305.5,316.5,-3024.148048,1.6002,355.5,366.5,-2285.129604,1.6949,405.5,416.5,-1787.381619,4.3907,455.5,466.5,-4009.603842,46.4892
