(1)comp,(1)comp_ajuste,(1)raman,v_350_5-5,p_350_5-5,(2)comp,(2)comp_ajuste,(2)raman,v_400_5-5,p_400_5-5,(3)comp,(3)comp_ajuste,(3)raman,v_450_10-10,p_450_10-10,(4)comp,(4)comp_ajuste,(4)raman,v_500_10-10,p_500_10-10
432.5,443.5,6023.514254,0.2923,1.1292,482.5,493.5,4736.575481,0.114,0.1721,532.5,543.5,3822.958193,0.6809,1.1328,,,,,
433,444,6048.906049,0.2918,1.111,483,494,4757.08502,0.097,0.1488,533,544,3839.869281,0.6651,1.1224,,,,,
433.5,444.5,6074.24072,0.2967,0.9933,483.5,494.5,4777.553084,0.1044,0.1373,533.5,544.5,3856.749311,0.6575,1.105,,,,,
434,445,6099.518459,0.3052,0.979,484,495,4797.979798,0.1276,0.1861,534,545,3873.598369,0.6375,1.0928,,,,,
434.5,445.5,6124.739458,0.3163,1.0287,484.5,495.5,4818.365288,0.1425,0.2307,534.5,545.5,3890.416539,0.6131,1.085,,,,,
435,446,6149.903908,0.3337,1.1347,485,496,4838.709677,0.1388,0.243,535,546,3907.203907,0.592,1.0746,,,,,
435.5,446.5,6175.011998,0.331,1.1848,485.5,496.5,4859.013092,0.141,0.2774,535.5,546.5,3923.960557,0.5605,1.0595,,,,,
436,447,6200.063918,0.3234,1.1566,486,497,4879.275654,0.1539,0.3018,536,547,3940.686573,0.5347,1.0507,,,,,
436.5,447.5,6225.059856,0.307,1.1352,486.5,497.5,4899.497487,0.1624,0.2795,536.5,547.5,3957.38204,0.5166,1.025,,,,,
437,448,6250,0.2596,1.1544,487,498,4919.678715,0.1585,0.3112,537,548,3974.04704,0.5094,1.0187,,,,,
437.5,448.5,6274.884536,0.279,1.1621,487.5,498.5,4939.819458,0.1442,0.3213,537.5,548.5,3990.681657,0.5063,1.0101,,,,,
438,449,6299.713649,0.2974,1.1454,488,499,4959.91984,0.1331,0.3128,538,549,4007.285974,0.4932,0.9871,,,,,
438.5,449.5,6324.487526,0.3153,1.0911,488.5,499.5,4979.97998,0.1412,0.2993,538.5,549.5,4023.860075,0.4879,0.9767,,,,,
439,450,6349.206349,0.3313,1.1309,489,500,5000,0.1765,0.305,539,550,4040.40404,0.4848,0.9652,,,,,
439.5,450.5,6373.870303,0.3485,1.1796,489.5,500.5,5019.98002,0.1803,0.2977,539.5,550.5,4056.917953,0.4927,0.9479,,,,,
440,451,6398.479569,0.3657,1.1677,490,501,5039.92016,0.1876,0.2961,540,551,4073.401896,0.4771,0.9307,,,,,
440.5,451.5,6423.03433,0.3747,1.1457,490.5,501.5,5059.820538,0.1986,0.2712,540.5,551.5,4089.855948,0.4688,0.912,,,,,
441,452,6447.534766,0.3588,1.1753,491,502,5079.681275,0.2218,0.2428,541,552,4106.280193,0.4694,0.8931,,,,,
441.5,452.5,6471.981058,0.3313,1.0402,491.5,502.5,5099.502488,0.2228,0.2189,541.5,552.5,4122.674711,0.4623,0.8678,,,,,
442,453,6496.373384,0.2956,1.0854,492,503,5119.284294,0.2035,0.2647,542,553,4139.039582,0.4523,0.846,,,,,
442.5,453.5,6520.711923,0.3237,1.0593,492.5,503.5,5139.026812,0.189,0.2782,542.5,553.5,4155.374887,0.4526,0.8409,,,,,
443,454,6544.996853,0.3225,1.0064,493,504,5158.730159,0.1999,0.2566,543,554,4171.680706,0.4402,0.83,,,,,
443.5,454.5,6569.228351,0.3188,1.0483,493.5,504.5,5178.39445,0.1815,0.2264,543.5,554.5,4187.957119,0.4342,0.8266,,,,,
444,455,6593.406593,0.3168,1.0762,494,505,5198.019802,0.197,0.2137,544,555,4204.204204,0.4265,0.8317,,,,,
444.5,455.5,6617.531755,0.317,1.1593,494.5,505.5,5217.60633,0.1857,0.2072,544.5,555.5,4220.422042,0.4168,0.8365,,,,,
445,456,6641.60401,0.3203,1.2504,495,506,5237.15415,0.2069,0.2124,545,556,4236.610711,0.4048,0.8273,,,,,
445.5,456.5,6665.623533,0.3264,1.225,495.5,506.5,5256.663376,0.2138,0.2043,545.5,556.5,4252.770291,0.3955,0.818,,,,,
446,457,6689.590497,0.3112,1.1836,496,507,5276.134122,0.2226,0.2131,546,557,4268.900858,0.3928,0.8106,,,,,
446.5,457.5,6713.505074,0.3,1.0309,496.5,507.5,5295.566502,0.228,0.245,546.5,557.5,4285.002491,0.387,0.8022,,,,,
447,458,6737.367436,0.2953,1.0111,497,508,5314.96063,0.2148,0.2781,547,558,4301.075269,0.3814,0.7946,,,,,
447.5,458.5,6761.177754,0.2929,0.9096,497.5,508.5,5334.316618,0.2125,0.2782,547.5,558.5,4317.119268,0.382,0.7893,,,,,
448,459,6784.936197,0.2952,0.9532,498,509,5353.634578,0.2077,0.2428,548,559,4333.134566,0.3756,0.7852,,,,,
448.5,459.5,6808.642935,0.2965,0.9498,498.5,509.5,5372.914622,0.2007,0.2215,548.5,559.5,4349.121239,0.3727,0.7799,,,,,
449,460,6832.298137,0.3019,1.0544,499,510,5392.156863,0.1928,0.1955,549,560,4365.079365,0.3687,0.7552,,,,,
449.5,460.5,6855.90197,0.3212,1.1092,499.5,510.5,5411.36141,0.2101,0.1475,549.5,560.5,4381.00902,0.3293,0.6941,,,,,
450,461,6879.454602,0.315,1.343,500,511,5430.528376,0.267,0.137,550,561,4396.910279,0.318,0.751,,,,,
