(2)comp,(2)comp_ajuste,(2)comp_raman,(2)10-5,(2)5-5,(3comp,(3)comp_ajuste,(3)comp_raman,(3)10-5,(3)5-5,(3)10-10,(4)comp,(4)comp_ajuste,(4)comp_raman,(4)10-10,(4)10-5
469,480.3,4179.679367,0.5943,0.5058,519,530.3,3364.971609,0.2702,0.2352,1.3825,619,629,4101.748808,0.1963,0.0018
469.5,480.8,4201.331115,0.5901,0.546,519.5,530.8,3382.734656,0.2728,0.2652,1.372,619.5,629.5,4114.376489,0.1974,3.00E-04
470,481.3,4222.937877,0.5889,0.5361,520,531.3,3400.46427,0.2732,0.2922,1.3654,620,630,4126.984127,0.195,-0.001
470.5,481.8,4244.499792,0.5866,0.5181,520.5,531.8,3418.160545,0.2728,0.2739,1.3603,620.5,630.5,4139.571768,0.1928,-2.00E-04
471,482.3,4266.017002,0.5841,0.495,521,532.3,3435.823575,0.2703,0.2703,1.3577,621,631,4152.139461,0.1935,1.00E-04
471.5,482.8,4287.489644,0.5835,0.4431,521.5,532.8,3453.453453,0.2651,0.263,1.3487,621.5,631.5,4164.687253,0.1951,0.0011
472,483.3,4308.917856,0.5872,0.4374,522,533.3,3471.050274,0.2646,0.2651,1.3306,622,632,4177.21519,0.1975,0.0017
472.5,483.8,4330.301778,0.5748,0.4234,522.5,533.8,3488.614129,0.2584,0.2572,1.3111,622.5,632.5,4189.72332,0.1995,0.0013
473,484.3,4351.641544,0.5643,0.4132,523,534.3,3506.145112,0.2535,0.2297,1.2906,623,633,4202.21169,0.2015,0.0032
473.5,484.8,4372.937294,0.5512,0.4052,523.5,534.8,3523.643314,0.2587,0.2067,1.273,623.5,633.5,4214.680347,0.2012,0.0044
474,485.3,4394.189161,0.5474,0.4081,524,535.3,3541.108828,0.2686,0.1844,1.2532,624,634,4227.129338,0.2016,0.0044
474.5,485.8,4415.397283,0.5405,0.4307,524.5,535.8,3558.541744,0.2753,0.17,1.229,624.5,634.5,4239.558708,0.1957,0.0047
475,486.3,4436.561793,0.5512,0.4333,525,536.3,3575.942155,0.2778,0.1377,1.2079,625,635,4251.968504,0.196,0.0049
475.5,486.8,4457.682827,0.5607,0.4515,525.5,536.8,3593.310151,0.2793,0.1108,1.1768,625.5,635.5,4264.358773,0.1994,0.0042
476,487.3,4478.760517,0.5701,0.4579,526,537.3,3610.645822,0.2776,0.0968,1.1476,626,636,4276.72956,0.2026,0.0033
476.5,487.8,4499.794998,0.583,0.458,526.5,537.8,3627.949258,0.2731,0.1091,1.1225,626.5,636.5,4289.080911,0.2038,0.0027
477,488.3,4520.786402,0.5897,0.4861,527,538.3,3645.22055,0.2689,0.1318,1.0971,627,637,4301.412873,0.203,0.001
477.5,488.8,4541.734861,0.5731,0.4786,527.5,538.8,3662.459787,0.2574,0.1203,1.0777,627.5,637.5,4313.72549,0.2054,-1.00E-04
478,489.3,4562.640507,0.5658,0.4991,528,539.3,3679.667058,0.2503,0.1276,1.0487,628,638,4326.018809,0.2102,9.00E-04
478.5,489.8,4583.503471,0.5512,0.4926,528.5,539.8,3696.842452,0.2471,0.1505,1.023,628.5,638.5,4338.292874,0.2136,4.00E-04
479,490.3,4604.323883,0.5455,0.4891,529,540.3,3713.986057,0.2476,0.1601,0.9961,629,639,4350.547731,0.2119,-1.00E-04
479.5,490.8,4625.101874,0.5401,0.4872,529.5,540.8,3731.097962,0.2401,0.1576,0.9736,629.5,639.5,4362.783425,0.2143,9.00E-04
480,491.3,4645.837574,0.5429,0.5147,530,541.3,3748.178254,0.2378,0.1287,0.9592,630,640,4375,0.2134,0.0012
480.5,491.8,4666.53111,0.5432,0.501,530.5,541.8,3765.227021,0.2318,0.1153,0.9385,630.5,640.5,4387.197502,0.2155,0.0012
481,492.3,4687.182612,0.53,0.4686,531,542.3,3782.24435,0.2211,0.1041,0.9228,631,641,4399.375975,0.2186,0.001
481.5,492.8,4707.792208,0.5207,0.4717,531.5,542.8,3799.230328,0.2116,0.1209,0.9037,631.5,641.5,4411.535464,0.2232,8.00E-04
482,493.3,4728.360024,0.511,0.4483,532,543.3,3816.185042,0.2011,0.1244,0.881,632,642,4423.676012,0.2249,0.0015
482.5,493.8,4748.886189,0.4981,0.4418,532.5,543.8,3833.108577,0.1883,0.111,0.8597,632.5,642.5,4435.797665,0.2267,0.0021
483,494.3,4769.370827,0.496,0.4304,533,544.3,3850.001021,0.1799,0.1416,0.843,633,643,4447.900467,0.2272,0.0022
483.5,494.8,4789.814066,0.4995,0.3941,533.5,544.8,3866.862457,0.1795,0.1509,0.8253,633.5,643.5,4459.98446,0.2256,0.003
484,495.3,4810.216031,0.5026,0.3815,534,545.3,3883.692972,0.1777,0.1544,0.8116,634,644,4472.049689,0.2258,0.0024
484.5,495.8,4830.576846,0.5033,0.3898,534.5,545.8,3900.492651,0.1805,0.1459,0.7899,634.5,644.5,4484.096199,0.2227,0.0044
485,496.3,4850.896635,0.5115,0.4053,535,546.3,3917.261578,0.1837,0.1206,0.7751,635,645,4496.124031,0.2235,0.0053
485.5,496.8,4871.175523,0.5096,0.3764,535.5,546.8,3933.999837,0.1884,0.1163,0.756,635.5,645.5,4508.13323,0.2246,0.0053
486,497.3,4891.413634,0.4919,0.373,536,547.3,3950.707514,0.1948,0.1239,0.7367,636,646,4520.123839,0.2258,0.0045
486.5,497.8,4911.611089,0.4689,0.3915,536.5,547.8,3967.38469,0.1994,0.1327,0.7147,636.5,646.5,4532.095901,0.2269,0.0028
487,498.3,4931.768011,0.4692,0.3955,537,548.3,3984.031451,0.2049,0.12,0.7011,637,647,4544.049459,0.2283,0.003
487.5,498.8,4951.884523,0.4519,0.4122,537.5,548.8,4000.647878,0.204,0.1101,0.6879,637.5,647.5,4555.984556,0.2305,0.0047
488,499.3,4971.960745,0.4495,0.3803,538,549.3,4017.234055,0.2007,0.1072,0.6722,638,648,4567.901235,0.2334,0.0058
488.5,499.8,4991.996799,0.4473,0.3638,538.5,549.8,4033.790065,0.1966,0.073,0.6632,638.5,648.5,4579.799537,0.2346,0.0065
489,500.3,5011.992804,0.4368,0.3621,539,550.3,4050.315989,0.1868,0.0568,0.651,639,649,4591.679507,0.2313,0.0047
489.5,500.8,5031.948882,0.4238,0.3814,539.5,550.8,4066.81191,0.1772,0.0324,0.6393,639.5,649.5,4603.541186,0.2307,0.0071
490,501.3,5051.865151,0.439,0.3859,540,551.3,4083.277909,0.166,0.0376,0.633,640,650,4615.384615,0.2342,0.0077
490.5,501.8,5071.74173,0.4367,0.3656,540.5,551.8,4099.714067,0.1651,0.0367,0.6241,640.5,650.5,4627.209839,0.2349,0.0071
491,502.3,5091.578738,0.4334,0.3528,541,552.3,4116.120466,0.1663,0.041,0.6169,641,651,4639.016897,0.2345,0.0055
491.5,502.8,5111.376293,0.4371,0.3285,541.5,552.8,4132.497186,0.1669,0.0429,0.613,641.5,651.5,4650.805833,0.2352,0.0029
492,503.3,5131.134512,0.4514,0.2963,542,553.3,4148.844308,0.1674,0.0354,0.6108,642,652,4662.576687,0.2366,0.0028
492.5,503.8,5150.853513,0.4433,0.2432,542.5,553.8,4165.161912,0.1609,0.031,0.6127,642.5,652.5,4674.329502,0.2383,0.0028
