comp(1),comp_corrected(1),raman_shift(1),vidro(5-5),comp(2),comp_corrected(2),raman_shift(2),vidro(5-5),comp(3),comp_corrected(1),raman_shift(3),vidro(10-10),comp(4),comp_corrected(1),raman_shift(4),vidro(10-10)
413.5,424.5,5014.302541,2.1037,463.5,474.5,3925.184405,1.5005,513.5,524.5,3156.445292,2.6561,563.5,574.5,2593.559617,1.5929
414,425,5042.016807,2.0901,464,475,3947.368421,1.5064,514,525,3174.603175,2.6704,564,575,2608.695652,1.5901
414.5,425.5,5069.665939,2.0826,464.5,475.5,3969.505783,1.4996,514.5,525.5,3192.726504,2.6881,564.5,575.5,2623.805387,1.5852
415,426,5097.250168,2.0918,465,476,3991.596639,1.4905,515,526,3210.815378,2.7032,565,576,2638.888889,1.5823
415.5,426.5,5124.76972,2.1179,465.5,476.5,4013.641133,1.4997,515.5,526.5,3228.869896,2.7175,565.5,576.5,2653.946227,1.5824
416,427,5152.224824,2.06,466,477,4035.639413,1.5119,516,527,3246.890154,2.728,566,577,2668.97747,1.5836
416.5,427.5,5179.615706,2.0315,466.5,477.5,4057.591623,1.4956,516.5,527.5,3264.876251,2.7378,566.5,577.5,2683.982684,1.5842
417,428,5206.94259,2.0571,467,478,4079.497908,1.4715,517,528,3282.828283,2.7463,567,578,2698.961938,1.5842
417.5,428.5,5234.205701,2.0451,467.5,478.5,4101.358412,1.4633,517.5,528.5,3300.746347,2.7536,567.5,578.5,2713.915298,1.5825
418,429,5261.405261,2.0683,468,479,4123.173278,1.4448,518,529,3318.63054,2.7592,568,579,2728.842832,1.5801
418.5,429.5,5288.541493,2.1024,468.5,479.5,4144.942649,1.4286,518.5,529.5,3336.480957,2.7635,568.5,579.5,2743.744607,1.5777
419,430,5315.614618,2.1063,469,480,4166.666667,1.4253,519,530,3354.297694,2.7668,569,580,2758.62069,1.5744
419.5,430.5,5342.624855,2.0868,469.5,480.5,4188.345473,1.422,519.5,530.5,3372.080846,2.766,569.5,580.5,2773.471146,1.5733
420,431,5369.572423,2.1362,470,481,4209.97921,1.4324,520,531,3389.830508,2.7659,570,581,2788.296041,1.5712
420.5,431.5,5396.45754,2.1255,470.5,481.5,4231.568017,1.4286,520.5,531.5,3407.546775,2.7646,570.5,581.5,2803.095443,1.5747
421,432,5423.280423,2.0682,471,482,4253.112033,1.408,521,532,3425.229741,2.759,571,582,2817.869416,1.5758
421.5,432.5,5450.041288,2.1088,471.5,482.5,4274.611399,1.3907,521.5,532.5,3442.879499,2.7542,571.5,582.5,2832.618026,1.5771
422,433,5476.74035,2.0743,472,483,4296.066253,1.3839,522,533,3460.496143,2.7458,572,583,2847.341338,1.5789
422.5,433.5,5503.377822,2.0378,472.5,483.5,4317.476732,1.3886,522.5,533.5,3478.079767,2.7379,572.5,583.5,2862.039417,1.5827
423,434,5529.953917,2.049,473,484,4338.842975,1.3538,523,534,3495.630462,2.7285,573,584,2876.712329,1.5893
423.5,434.5,5556.468848,2.0686,473.5,484.5,4360.165119,1.3264,523.5,534.5,3513.148321,2.7233,573.5,584.5,2891.360137,1.595
424,435,5582.922824,2.1268,474,485,4381.443299,1.2902,524,535,3530.633437,2.7122,574,585,2905.982906,1.6001
424.5,435.5,5609.316057,2.1783,474.5,485.5,4402.677652,1.2665,524.5,535.5,3548.085901,2.6975,574.5,585.5,2920.5807,1.6047
425,436,5635.648755,2.2248,475,486,4423.868313,1.2309,525,536,3565.505804,2.6831,575,586,2935.153584,1.6126
425.5,436.5,5661.921126,2.1861,475.5,486.5,4445.015416,1.2154,525.5,536.5,3582.893238,2.6656,575.5,586.5,2949.70162,1.6186
426,437,5688.133377,2.194,476,487,4466.119097,1.1791,526,537,3600.248293,2.6438,576,587,2964.224872,1.6247
426.5,437.5,5714.285714,2.2193,476.5,487.5,4487.179487,1.1868,526.5,537.5,3617.571059,2.6195,576.5,587.5,2978.723404,1.6308
427,438,5740.378343,2.18,477,488,4508.196721,1.1879,527,538,3634.861627,2.5932,577,588,2993.197279,1.643
427.5,438.5,5766.411468,2.2119,477.5,488.5,4529.170931,1.1948,527.5,538.5,3652.120087,2.5622,577.5,588.5,3007.646559,1.6514
428,439,5792.385291,2.183,478,489,4550.102249,1.1707,528,539,3669.346526,2.5327,578,589,3022.071307,1.6585
428.5,439.5,5818.300016,2.184,478.5,489.5,4570.990807,1.1268,528.5,539.5,3686.541036,2.5016,578.5,589.5,3036.471586,1.6669
429,440,5844.155844,2.2214,479,490,4591.836735,1.0808,529,540,3703.703704,2.4672,579,590,3050.847458,1.6726
429.5,440.5,5869.952976,2.2328,479.5,490.5,4612.640163,1.0645,529.5,540.5,3720.834618,2.4328,579.5,590.5,3065.198984,1.6806
430,441,5895.69161,2.1659,480,491,4633.401222,1.0308,530,541,3737.933867,2.4003,580,591,3079.526227,1.6907
430.5,441.5,5921.371946,2.1305,480.5,491.5,4654.120041,1.0159,530.5,541.5,3755.001539,2.3653,580.5,591.5,3093.829248,1.7014
431,442,5946.994182,2.1536,481,492,4674.796748,1.0038,531,542,3772.03772,2.3293,581,592,3108.108108,1.7088
431.5,442.5,5972.558515,2.109,481.5,492.5,4695.431472,1.0103,531.5,542.5,3789.042499,2.2947,581.5,592.5,3122.362869,1.7152
