comp(1),comp_corrected(1),raman_shift(1),vidro(ex 350 5-5),plastico(ex 350 5-5),comp(2),comp_corrected(2),raman_shift(2),vidro(ex 400 5-5),plastico(ex 400 5-5),comp(3),comp_corrected(3),raman_shift(3),vidro(ex 450 10-10),plastico(ex 450 10-10),comp(4),comp_corrected(4),raman_shift(4),vidro(ex 500 10-10),plastico(ex 500 10-10)
405.5,416.5,4561.82473,0.8516,2.1329,455.5,466.5,3563.772776,0.917,1.3912,505.5,516.5,2861.138002,0.5255,1.537,555.5,566.5,2347.749338,0.1253,0.5522
406,417,4590.613224,0.8223,2.0876,456,467,3586.723769,0.819,1.3988,506,517,2879.862454,0.5413,1.5317,556,567,2363.315697,0.1243,0.5493
406.5,417.5,4619.332763,0.8532,2.0837,456.5,467.5,3609.625668,0.7548,1.4451,506.5,517.5,2898.550725,0.5521,1.5177,556.5,567.5,2378.854626,0.1233,0.5469
407,418,4647.983595,0.9056,2.0849,457,468,3632.478632,0.6292,1.3275,507,518,2917.202917,0.5761,1.5237,557,568,2394.366197,0.1229,0.5443
407.5,418.5,4676.565967,0.8290,2.1178,457.5,468.5,3655.282818,0.6609,1.25,507.5,518.5,2935.819136,0.5976,1.5282,557.5,568.5,2409.850484,0.1212,0.5432
408,419,4705.080123,0.7798,2.0937,458,469,3678.03838,0.5605,1.2087,508,519,2954.399486,0.6242,1.5493,558,569,2425.307557,0.1207,0.5409
408.5,419.5,4733.526307,0.7141,2.1051,458.5,469.5,3700.745474,0.4667,1.0009,508.5,519.5,2972.94407,0.6523,1.5514,558.5,569.5,2440.737489,0.1209,0.5394
409,420,4761.904762,0.7981,2.1205,459,470,3723.404255,0.4709,0.8447,509,520,2991.452991,0.672,1.5532,559,570,2456.140351,0.1202,0.539
409.5,420.5,4790.21573,0.8769,2.1825,459.5,470.5,3746.014878,0.4768,0.7294,509.5,520.5,3009.926353,0.6914,1.5651,559.5,570.5,2471.516214,0.1186,0.5379
410,421,4818.45945,0.7977,2.0492,460,471,3768.577495,0.3851,0.6613,510,521,3028.364257,0.6966,1.5806,560,571,2486.865149,0.1194,0.5373
410.5,421.5,4846.636163,0.7396,2.0322,460.5,471.5,3791.092259,0.4641,0.5977,510.5,521.5,3046.766805,0.727,1.5932,560.5,571.5,2502.187227,0.1194,0.5357
411,422,4874.746107,0.7367,2.0407,461,472,3813.559322,0.3998,0.6348,511,522,3065.1341,0.7497,1.6255,561,572,2517.482517,0.1205,0.5342
411.5,422.5,4902.789518,0.7565,2.0922,461.5,472.5,3835.978836,0.3775,0.697,511.5,522.5,3083.466241,0.7622,1.6313,561.5,572.5,2532.751092,0.1239,0.5335
412,423,4930.766633,0.7366,2.1077,462,473,3858.350951,0.3707,0.6463,512,523,3101.763331,0.7769,1.6561,562,573,2547.993019,0.1261,0.5338
412.5,423.5,4958.677686,0.6465,2.1571,462.5,473.5,3880.675818,0.3797,0.6072,512.5,523.5,3120.02547,0.7892,1.6745,562.5,573.5,2563.20837,0.1269,0.5313
413,424,4986.522911,0.6270,2.1791,463,474,3902.953586,0.385,0.6232,513,524,3138.252757,0.8086,1.7003,563,574,2578.397213,0.1279,0.5296
413.5,424.5,5014.302541,0.6113,2.1722,463.5,474.5,3925.184405,0.3672,0.4648,513.5,524.5,3156.445292,0.8217,1.7071,563.5,574.5,2593.559617,0.1294,0.5291
414,425,5042.016807,0.6712,2.1399,464,475,3947.368421,0.3814,0.4385,514,525,3174.603175,0.8378,1.7269,564,575,2608.695652,0.1327,0.5293
