(1)comp,(1)comp_ajuste,(1)raman,v_350_5-5,p_350_5-5,(2)comp,(2)comp_ajuste,(2)raman,v_400_5-5,p_400_5-5,(3)comp,(3)comp_ajuste,(3)raman,v_450_10-10,p_450_10-10,(4)comp,(4)comp_ajuste,(4)raman,v_500_10-10,p_500_10-10
397.5,408.5,4091.62441,0.5015,1.4106,447.5,458.5,3189.749182,1.0234,1.1733,497.5,508.5,2556.53884,0.608,1.2254,547.5,558.5,2094.897046,0.2307,0.5406
398,409,4121.550821,0.4712,1.3862,448,459,3213.507625,1.0767,1.1632,498,509,2575.8568,0.6064,1.2234,548,559,2110.912343,0.2348,0.5381
398.5,409.5,4151.404151,0.5362,1.312,448.5,459.5,3237.214363,1.1012,1.1633,498.5,509.5,2595.136844,0.6084,1.2213,548.5,559.5,2126.899017,0.2393,0.5346
399,410,4181.184669,0.4996,1.3024,449,460,3260.869565,1.1186,1.1814,499,510,2614.379085,0.6087,1.2218,549,560,2142.857143,0.2408,0.533
399.5,410.5,4210.89264,0.4312,1.3381,449.5,460.5,3284.473398,1.1337,1.2024,499.5,510.5,2633.583633,0.61,1.2292,549.5,560.5,2158.786798,0.2434,0.5303
400,411,4240.528328,0.4039,1.4481,450,461,3308.02603,1.087,1.2181,500,511,2652.750598,0.605,1.2258,550,561,2174.688057,0.2441,0.5302
400.5,411.5,4270.091998,0.3339,1.4788,450.5,461.5,3331.527627,1.0994,1.2479,500.5,511.5,2671.880091,0.6004,1.2228,550.5,561.5,2190.560997,0.2459,0.5292
401,412,4299.583911,0.3067,1.4487,451,462,3354.978355,1.1358,1.2764,501,512,2690.972222,0.5952,1.211,551,562,2206.405694,0.2475,0.5269
401.5,412.5,4329.004329,0.3325,1.4628,451.5,462.5,3378.378378,1.1192,1.258,501.5,512.5,2710.0271,0.5991,1.2088,551.5,562.5,2222.222222,0.2477,0.5247
402,413,4358.353511,0.3287,1.4718,452,463,3401.727862,1.1087,1.2516,502,513,2729.044834,0.6045,1.2174,552,563,2238.010657,0.2473,0.5207
402.5,413.5,4387.631715,0.3137,1.5087,452.5,463.5,3425.026969,1.0934,1.2654,502.5,513.5,2748.025533,0.5991,1.2072,552.5,563.5,2253.771074,0.2483,0.5185
403,414,4416.839199,0.306,1.4609,453,464,3448.275862,1.092,1.2833,503,514,2766.969304,0.6028,1.1922,553,564,2269.503546,0.2487,0.5156
403.5,414.5,4445.976219,0.3305,1.4657,453.5,464.5,3471.474704,1.0136,1.2734,503.5,514.5,2785.876255,0.6074,1.1828,553.5,564.5,2285.208149,0.2497,0.5129
404,415,4475.043029,0.3228,1.4799,454,465,3494.623656,0.9489,1.2389,504,515,2804.746494,0.6119,1.1806,554,565,2300.884956,0.2491,0.5139
404.5,415.5,4504.039883,0.3209,1.513,454.5,465.5,3517.722879,0.8788,1.2374,504.5,515.5,2823.580127,0.613,1.167,554.5,565.5,2316.534041,0.2472,0.5086
405,416,4532.967033,0.3154,1.4161,455,466,3540.772532,0.8619,1.2517,505,516,2842.377261,0.6218,1.1672,555,566,2332.155477,0.2464,0.5068
405.5,416.5,4561.82473,0.3013,1.3791,455.5,466.5,3563.772776,0.8501,1.2119,505.5,516.5,2861.138002,0.633,1.172,555.5,566.5,2347.749338,0.2462,0.5057
406,417,4590.613224,0.3019,1.3678,456,467,3586.723769,0.8654,1.1536,506,517,2879.862454,0.6487,1.1881,556,567,2363.315697,0.2469,0.5042
406.5,417.5,4619.332763,0.3343,1.3218,456.5,467.5,3609.625668,0.8134,1.0709,506.5,517.5,2898.550725,0.6594,1.1961,556.5,567.5,2378.854626,0.2452,0.5007
407,418,4647.983595,0.357,1.3447,457,468,3632.478632,0.7928,0.9829,507,518,2917.202917,0.6758,1.2106,557,568,2394.366197,0.2424,0.4956
407.5,418.5,4676.565967,0.3707,1.3761,457.5,468.5,3655.282818,0.8106,0.9639,507.5,518.5,2935.819136,0.6884,1.2263,557.5,568.5,2409.850484,0.2411,0.4943
408,419,4705.080123,0.3772,1.4698,458,469,3678.03838,0.7591,0.9243,508,519,2954.399486,0.7063,1.2362,558,569,2425.307557,0.2406,0.4943
408.5,419.5,4733.526307,0.377,1.577,458.5,469.5,3700.745474,0.6134,0.8511,508.5,519.5,2972.94407,0.7325,1.2586,558.5,569.5,2440.737489,0.2398,0.4935
409,420,4761.904762,0.3699,1.5864,459,470,3723.404255,0.4914,0.8009,509,520,2991.452991,0.7567,1.2905,559,570,2456.140351,0.2383,0.4929
409.5,420.5,4790.21573,0.3675,1.6079,459.5,470.5,3746.014878,0.3773,0.8109,509.5,520.5,3009.926353,0.7784,1.3141,559.5,570.5,2471.516214,0.2389,0.4898
410,421,4818.45945,0.3283,1.4983,460,471,3768.577495,0.2878,0.8668,510,521,3028.364257,0.7997,1.3253,560,571,2486.865149,0.2385,0.4877
410.5,421.5,4846.636163,0.2897,1.4785,460.5,471.5,3791.092259,0.1961,0.8054,510.5,521.5,3046.766805,0.8247,1.3448,560.5,571.5,2502.187227,0.2359,0.4838
411,422,4874.746107,0.2749,1.4836,461,472,3813.559322,0.1639,0.747,511,522,3065.1341,0.8471,1.3714,561,572,2517.482517,0.2334,0.4798
411.5,422.5,4902.789518,0.2826,1.4448,461.5,472.5,3835.978836,0.1203,0.712,511.5,522.5,3083.466241,0.8686,1.3949,561.5,572.5,2532.751092,0.2308,0.4776
412,423,4930.766633,0.2811,1.4328,462,473,3858.350951,0.1352,0.6972,512,523,3101.763331,0.8874,1.4066,562,573,2547.993019,0.23,0.4742
412.5,423.5,4958.677686,0.2821,1.3946,462.5,473.5,3880.675818,0.2127,0.6908,512.5,523.5,3120.02547,0.9051,1.4145,562.5,573.5,2563.20837,0.227,0.471
413,424,4986.522911,0.2867,1.4455,463,474,3902.953586,0.2351,0.5835,513,524,3138.252757,0.9229,1.4284,563,574,2578.397213,0.2204,0.4691
413.5,424.5,5014.302541,0.296,1.4227,463.5,474.5,3925.184405,0.2467,0.5364,513.5,524.5,3156.445292,0.9367,1.4443,563.5,574.5,2593.559617,0.2131,0.4671
414,425,5042.016807,0.31,1.3636,464,475,3947.368421,0.257,0.503,514,525,3174.603175,0.9455,1.465,564,575,2608.695652,0.2051,0.466
414.5,425.5,5069.665939,0.326,1.2894,464.5,475.5,3969.505783,0.2786,0.5081,514.5,525.5,3192.726504,0.9482,1.4696,564.5,575.5,2623.805387,0.1966,0.4632
415,426,5097.250168,0.3148,1.1932,465,476,3991.596639,0.2497,0.5715,515,526,3210.815378,0.9631,1.4794,565,576,2638.888889,0.1871,0.4639
415.5,426.5,5124.76972,0.31,1.152,465.5,476.5,4013.641133,0.2148,0.5389,515.5,526.5,3228.869896,0.9763,1.4903,565.5,576.5,2653.946227,0.1793,0.463
