comp,int (ex 250 vidro),int (ex 250 plast),int (ex 300 vidro),int (ex 300 plast)
412.5,17.5448,5.7092,20.1249,9.9095
413,17.4962,5.6679,19.9276,9.9064
413.5,17.4187,5.6227,19.7607,9.9146
414,17.4254,5.5107,19.5949,9.9044
414.5,17.3863,5.3796,19.4119,9.9041
415,17.2713,5.3123,19.1424,9.8674
415.5,17.2199,5.2729,18.9976,9.8688
416,17.0449,5.2162,18.8477,9.8254
416.5,16.9749,5.1208,18.6729,9.7931
417,16.8332,5.0485,18.4877,9.7233
417.5,16.8468,4.9154,18.4005,9.6721
418,16.8213,4.8983,18.2564,9.6201
418.5,16.6906,4.8873,18.1404,9.5714
419,16.5872,4.872,18.0173,9.4985
419.5,16.4718,4.8255,17.8687,9.4177
420,16.3255,4.7305,17.7086,9.3251
420.5,16.1574,4.699,17.618,9.262
421,16.0897,4.681,17.5173,9.2569
421.5,16.1289,4.6384,17.3837,9.2518
422,16.0147,4.6539,17.2021,9.2768
422.5,15.8686,4.6397,17.0836,9.235
423,15.826,4.6343,16.907,9.2089
423.5,15.7865,4.5846,16.7246,9.2096
424,15.6931,4.5567,16.5424,9.2019
424.5,15.4385,4.4711,16.3783,9.2222
425,15.3565,4.4571,16.197,9.239
425.5,15.2726,4.4288,16.0614,9.2757
426,15.1892,4.4162,15.9072,9.2619
426.5,15.1038,4.3904,15.8082,9.267
427,15.0136,4.392,15.6794,9.273
427.5,14.9019,4.3303,15.6053,9.2586
428,14.7031,4.361,15.4759,9.2425
428.5,14.5194,4.3476,15.3158,9.2306
429,14.4091,4.3471,15.1657,9.1486
429.5,14.2576,4.3397,14.9969,9.0892
430,14.1974,4.3508,14.8262,9.0935
430.5,14.1156,4.3453,14.6787,9.1025
431,14.0945,4.3908,14.5614,9.1046
431.5,13.9929,4.4149,14.416,9.0938
432,13.8454,4.4407,14.2655,9.0673
432.5,13.7337,4.3721,14.1576,9.0131
433,13.6266,4.3383,13.941,9.0029
433.5,13.5217,4.2698,13.7361,9.0072
434,13.4095,4.2633,13.5941,8.9951
434.5,13.3273,4.1957,13.4132,8.9819
435,13.4057,4.1184,13.2792,8.9496
435.5,13.3227,4.0634,13.1121,8.949
436,13.284,4.0002,12.96,8.9401
436.5,13.2296,3.8965,12.8102,8.9552
437,13.1465,3.8667,12.6921,8.922
437.5,12.9446,3.7437,12.5785,8.8723
438,12.802,3.7387,12.4148,8.872
438.5,12.7598,3.7358,12.2461,8.8401
439,12.6696,3.7683,12.1365,8.8039
439.5,12.5597,3.8252,12.0299,8.8168
440,12.5467,3.8384,11.91,8.8076
440.5,12.4598,3.7874,11.7958,8.7585
441,12.3736,3.8509,11.7012,8.7109
441.5,12.2152,3.8367,11.6143,8.6738
442,12.1582,3.7727,11.4945,8.6597
442.5,12.0206,3.6473,11.3673,8.6172
443,11.9327,3.6466,11.2465,8.5882
443.5,11.8808,3.5796,11.2182,8.5338
