comp(1),comp_corrected(1),raman_shift(1),vidro(ex 350 5-5),plastico(ex 350 5-5),comp(2),comp_corrected(2),raman_shift(2),vidro(ex 400 5-5),plastico(ex 400 5-5),comp(3),comp_corrected(3),raman_shift(3),vidro(ex 450 10-10),plastico(ex 450 10-10),comp(4),comp_corrected(4),raman_shift(4),vidro(ex 500 10-10),plastico(ex 500 10-10)
382.5,393.5,3158.467962,0.3485048827,0.863990165,432.5,443.5,2452.085682,0.5988206157,0.6404066283,482.5,493.5,1958.797703,0.7561548107,2.909117198,532.5,543.5,1600.735971,133.3776418,949.0544252
383,394,3190.717912,0.3487056664,0.8646804488,433,444,2477.477477,0.6000394491,0.6406003852,483,494,1979.307242,0.7564108887,2.915397069,533,544,1617.647059,134.3010777,955.6902192
383.5,394.5,3222.886113,0.34890645,0.8653707327,433.5,444.5,2502.812148,0.6012582826,0.6407941422,483.5,494.5,1999.775306,0.7566669667,2.92167694,533.5,544.5,1634.527089,135.2245136,962.3260132
384,395,3254.972875,0.3491072337,0.8660610165,434,445,2528.089888,0.6024771161,0.6409878992,484,495,2020.20202,0.7569230447,2.927956811,534,545,1651.376147,136.1479495,968.9618072
384.5,395.5,3286.978508,0.3493080174,0.8667513003,434.5,445.5,2553.310887,0.6036959496,0.6411816562,484.5,495.5,2040.58751,0.7571791227,2.934236682,534.5,545.5,1668.194317,137.0713854,975.5976012
385,396,3318.903319,0.3495088011,0.8674415842,435,446,2578.475336,0.6049147831,0.6413754131,485,496,2060.9319,0.7574352007,2.940516553,535,546,1684.981685,137.9948213,982.2333952
385.5,396.5,3350.747613,0.3497095848,0.868131868,435.5,446.5,2603.583427,0.6061336166,0.6415691701,485.5,496.5,2081.235314,0.7576912787,2.946796424,535.5,546.5,1701.738335,138.9182572,988.8691892
386,397,3382.511695,0.3499103684,0.8688221518,436,447,2628.635347,0.60735245,0.6417629271,486,497,2101.497876,0.7579473567,2.953076295,536,547,1718.464351,139.8416931,995.5049832
386.5,397.5,3414.195867,0.3501111521,0.8695124356,436.5,447.5,2653.631285,0.6085712835,0.6419566841,486.5,497.5,2121.71971,0.7582034347,2.959356166,536.5,547.5,1735.159817,140.765129,1002.140777
387,398,3445.800431,0.3503119358,0.8702027195,437,448,2678.571429,0.609790117,0.642150441,487,498,2141.900937,0.7584595128,2.965636037,537,548,1751.824818,141.6885649,1008.776571
